"Directory","Reviewed","Changed","Notes"
"assets\themes","Yes","No",""
"assets\themes\backgrounds","Yes","No",""
"assets\themes\patterns","Yes","No",""
"assets\themes\previews","Yes","No",""
"colyseus-server","Yes","Yes","Touched in current audit pass"
"colyseus-server\scripts","Yes","No",""
"colyseus-server\src","Yes","No",""
"colyseus-server\src\data","Yes","No",""
"colyseus-server\src\games","Yes","No",""
"colyseus-server\src\games\minigolf","Yes","No",""
"colyseus-server\src\games\minigolf\courses","Yes","No",""
"colyseus-server\src\rooms","Yes","No",""
"colyseus-server\src\rooms\base","Yes","No",""
"colyseus-server\src\rooms\coop","Yes","No",""
"colyseus-server\src\rooms\incremental","Yes","No",""
"colyseus-server\src\rooms\party","Yes","No",""
"colyseus-server\src\rooms\physics","Yes","No",""
"colyseus-server\src\rooms\quickplay","Yes","No",""
"colyseus-server\src\rooms\spectator","Yes","No",""
"colyseus-server\src\rooms\turnbased","Yes","No",""
"colyseus-server\src\schemas","Yes","No",""
"colyseus-server\src\services","Yes","No",""
"colyseus-server\src\starforge","Yes","No",""
"colyseus-server\src\starforge\data","Yes","No",""
"colyseus-server\src\starforge\sim","Yes","No",""
"colyseus-server\src\utils","Yes","No",""
"colyseus-server\tests","Yes","Yes","Touched in current audit pass"
"colyseus-server\tests\rooms","Yes","Yes","Touched in current audit pass"
"colyseus-server\tests\services","Yes","Yes","Touched in current audit pass"
"colyseus-server\tests\utils","Yes","No",""
"constants","Yes","No",""
"constants\themes","Yes","No",""
"docs","Yes","Yes","Touched in current audit pass"
"docs\archived","Yes","No",""
"docs\games","Yes","No",""
"e2e","Yes","No",""
"e2e\games","Yes","No",""
"firebase-backend","Yes","No",""
"firebase-backend\functions","Yes","No",""
"firebase-backend\functions\lib","Yes","No",""
"firebase-backend\functions\lib\migrations","Yes","No",""
"firebase-backend\functions\src","Yes","No",""
"firebase-backend\functions\src\migrations","Yes","No",""
"packages","Yes","No",""
"scripts","Yes","No",""
"shared","Yes","No",""
"shared\games","Yes","No",""
"shared\games\minigolf","Yes","No",""
"shared\games\minigolf\courses","Yes","No",""
"shared\games\minigolf\courses\garden","Yes","No",""
"shared\games\minigolf\courses\neon","Yes","No",""
"shared\games\minigolf\courses\toybox","Yes","No",""
"shared\games\minigolf\courses\tutorial","Yes","No",""
"shared\golfDuels","Yes","No",""
"shared\golfDuels\courses","Yes","No",""
"src","Yes","Yes","Touched in current audit pass"
"src\components","Yes","Yes","Touched in current audit pass"
"src\components\activity","Yes","No",""
"src\components\animations","Yes","No",""
"src\components\badges","Yes","No",""
"src\components\calls","Yes","Yes","Touched in current audit pass"
"src\components\camera","Yes","No",""
"src\components\chat","Yes","No",""
"src\components\chat\inbox","Yes","No",""
"src\components\customization","Yes","No",""
"src\components\dev","Yes","No",""
"src\components\games","Yes","Yes","Touched in current audit pass"
"src\components\games\graphics","Yes","No",""
"src\components\games\minigolf","Yes","No",""
"src\components\games\sketch-party","Yes","No",""
"src\components\games\spectator-renderers","Yes","Yes","Touched in current audit pass"
"src\components\profile","Yes","Yes","Touched in current audit pass"
"src\components\profile\FriendshipInfo","Yes","No",""
"src\components\profile\FriendsSection","Yes","No",""
"src\components\profile\MutualFriends","Yes","No",""
"src\components\profile\ProfileActions","Yes","No",""
"src\components\profile\ProfileBio","Yes","No",""
"src\components\profile\ProfileGameScores","Yes","No",""
"src\components\profile\ProfileHeader","Yes","No",""
"src\components\profile\ProfileModeration","Yes","Yes","Touched in current audit pass"
"src\components\profile\ProfilePicture","Yes","No",""
"src\components\profile\ProfileShare","Yes","No",""
"src\components\profile\Status","Yes","Yes","Touched in current audit pass"
"src\components\shop","Yes","No",""
"src\components\three","Yes","No",""
"src\components\ui","Yes","No",""
"src\config","Yes","No",""
"src\contexts","Yes","No",""
"src\data","Yes","No",""
"src\games","Yes","No",""
"src\games\minigolf","Yes","No",""
"src\games\minigolf\courses","Yes","No",""
"src\hooks","Yes","Yes","Touched in current audit pass"
"src\hooks\calls","Yes","No",""
"src\hooks\camera","Yes","No",""
"src\hooks\chat","Yes","No",""
"src\navigation","Yes","No",""
"src\screens","Yes","Yes","Touched in current audit pass"
"src\screens\admin","Yes","No",""
"src\screens\auth","Yes","Yes","Touched in current audit pass"
"src\screens\calls","Yes","Yes","Touched in current audit pass"
"src\screens\camera","Yes","Yes","Touched in current audit pass"
"src\screens\chat","Yes","Yes","Touched in current audit pass"
"src\screens\debug","Yes","Yes","Touched in current audit pass"
"src\screens\friends","Yes","Yes","Touched in current audit pass"
"src\screens\games","Yes","Yes","Touched in current audit pass"
"src\screens\games\components","Yes","Yes","Touched in current audit pass"
"src\screens\groups","Yes","No",""
"src\screens\profile","Yes","Yes","Touched in current audit pass"
"src\screens\settings","Yes","No",""
"src\screens\shop","Yes","Yes","Touched in current audit pass"
"src\screens\social","Yes","No",""
"src\screens\stories","Yes","Yes","Touched in current audit pass"
"src\screens\tasks","Yes","Yes","Touched in current audit pass"
"src\screens\wallet","Yes","No",""
"src\services","Yes","Yes","Touched in current audit pass"
"src\services\cache","Yes","No",""
"src\services\calls","Yes","No",""
"src\services\camera","Yes","Yes","Touched in current audit pass"
"src\services\chat","Yes","No",""
"src\services\database","Yes","No",""
"src\services\games","Yes","No",""
"src\services\gameValidation","Yes","No",""
"src\services\messaging","Yes","Yes","Touched in current audit pass"
"src\services\messaging\adapters","Yes","No",""
"src\services\notifications","Yes","No",""
"src\services\profile","Yes","No",""
"src\services\story","Yes","No",""
"src\services\sync","Yes","No",""
"src\shims","Yes","No",""
"src\store","Yes","No",""
"src\types","Yes","No",""
"src\types\navigation","Yes","No",""
"src\utils","Yes","No",""
"src\utils\performance","Yes","No",""
"src\utils\physics","Yes","No",""
"starforge-viewer","Yes","No",""
"starforge-viewer\public","Yes","No",""
"starforge-viewer\server","Yes","No",""
"starforge-viewer\server\src","Yes","No",""
"starforge-viewer\server\src\rooms","Yes","No",""
"starforge-viewer\server\src\schema","Yes","No",""
"starforge-viewer\src","Yes","No",""
"starforge-viewer\src\animation","Yes","No",""
"starforge-viewer\src\builder","Yes","No",""
"starforge-viewer\src\debug","Yes","No",""
"starforge-viewer\src\game","Yes","No",""
"starforge-viewer\src\game\core","Yes","No",""
"starforge-viewer\src\game\data","Yes","No",""
"starforge-viewer\src\game\integrate","Yes","No",""
"starforge-viewer\src\game\net","Yes","No",""
"starforge-viewer\src\game\render","Yes","No",""
"starforge-viewer\src\game\save","Yes","No",""
"starforge-viewer\src\game\sim","Yes","No",""
"starforge-viewer\src\game\ui","Yes","No",""
"starforge-viewer\src\geometry","Yes","No",""
"starforge-viewer\src\loader","Yes","No",""
"starforge-viewer\src\materials","Yes","No",""
"starforge-viewer\src\types","Yes","No",""
"starforge-viewer\src\vfx","Yes","No",""
"tools","Yes","No",""
"tools\minigolf","Yes","No",""
